"NightlyProwler_OAUTHCLIENT_PSD","30       16       *    *   1,2,3,4,5,6","at 16:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","false"
"NightlyProwler_OAUTHCLIENT_PSD","00       18       *    *   1,2,3,4,5,6","at 18:00 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"NightlyProwler_OAUTHCLIENT_PSD","0 9,16,22 * * 0-5","at 9, 16 and 22 hours every day between Sunday and Friday","false"
"oauthclient_npr_CI_usetinydb",,,
"Yslpsd",,,
"categorizationservice_release","03    2   *     *     1,2,3,4,5,6","at 02:03 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"NightlyProwler_YSL_smb_usetinydb",,,
"yslwellnessYSLtc",,,
"WellnessPE","30      8      *     *   1,2,3,4,5,6","at 08:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"WellnessPE","30      13      *     *   1,2,3,4,5,6","at 13:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"WellnessPE","30      17      *     *   1,2,3,4,5,6","at 17:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"yslsmb",,,
"yslmoneysupport_CI_usetinydb",,,
"yslstab_CI_usetinydb",,,
"OAUTHCLIENT_STABILIZATION_CI","00,30 * * * *","at 0 and 30 minutes","true"
"yslnprplusYSLtc",,,
"WEALTHSERVICE_NPR_CI","00,30 * * * *","at 0 and 30 minutes","true"
"YSLSDG_CI","00,41 * * * *","at 0 and 41 minutes","true"
"NightlyProwler_YSL_wellness_usetinydb",,,
"yslwealth_CI_usetinydb",,,
"ysl-fincheck",,,
"NightlyProwler_OAUTHCLIENT_STAB","30       8       *    *   1,2,3,4,5,6","at 08:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"NightlyProwler_OAUTHCLIENT_STAB","30       16       *    *   1,2,3,4,5,6","at 16:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","false"
"NightlyProwler_OAUTHCLIENT_STAB","00       18       *    *   1,2,3,4,5,6","at 18:00 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"YSLSTAB_CI","00,30 * * * *","at 0 and 30 minutes","true"
"NightlyProwler_WEALTHSERVICE_NPR_USETINYDB",,,
"YSLWELLNESS_CI","00,30 * * * *","at 0 and 30 minutes","true"
"YSLWEALTH_CI","00,30 * * * *","at 0 and 30 minutes","true"
"NightlyProwler_YSL_psd","00       9       *    *   1,2,3,4,5,6","at 09:00 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"NightlyProwler_YSL_psd","30       15       *    *   1,2,3,4,5,6","at 15:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"NightlyProwler_YSL_psd","00       19       *    *   1,2,3,4,5,6","at 19:00 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"Widgetapps-STB","45      6      *     *   3","at 06:45 at Wednesday day","true"
"NightlyProwler_YSL_stab","00 23 * * 1,2,3,4,5,6","at 23:00 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"NightlyProwler_OAUTHCLIENT_NPR_USETINYDB",,,
"test",,,
"NightlyProwler_OAUTHCLIENT_ARMSTRONG","30       8       *    *   1,2,3,4,5,6","at 08:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"NightlyProwler_OAUTHCLIENT_ARMSTRONG","30       16       *    *   1,2,3,4,5,6","at 16:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","false"
"NightlyProwler_OAUTHCLIENT_ARMSTRONG","00       18       *    *   1,2,3,4,5,6","at 18:00 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"NightlyProwler_OAUTHCLIENT_PSD_USETINYDB",,,
"yslnprplusDeploy",,,
"NightlyProwler_YSL_psd_usetinydb",,,
"platformPE","30      6      *     *   1,2,3,4,5,6","at 06:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"platformPE","30      16      *     *   1,2,3,4,5,6","at 16:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"NightlyProwler_YSL_nprplus_usetinydb",,,
"NightlyProwler_WEALTHSERVICE_STAB","30       8       *    *   1,2,3,4,5,6","at 08:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"NightlyProwler_WEALTHSERVICE_STAB","30       16       *    *   1,2,3,4,5,6","at 16:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","false"
"NightlyProwler_WEALTHSERVICE_STAB","00       18       *    *   1,2,3,4,5,6","at 18:00 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true"
"alpha_ysl_deployment_wellness",,,
"NightlyProwler_YSL_fincheck_usetinydb",,,
"yslfincheck_CI_usetinydb",,,
"NightlyProwler_YSL_stab_usetinydb",,,
"wealthservice_npr_CI_usetinydb",,,
"YSLFINCHECK_CI","00,30 * * * *","at 0 and 30 minutes","true"
