"JobName","CronTime","TimeDescription","CronStatus","URL","Timetaken","LastJobStatus","LastJobDate","Server","JobStatus"
"yslsmb_CI_usetinydb","","","","http://192.168.113.195:9090/job/yslsmb_CI_usetinydb/50","210","SUCCESS","26 Oct, 2018","192.168.113.247","true"
"oauthclient_armstrong_CI_usetinydb","","","","http://192.168.113.195:9090/job/oauthclient_armstrong_CI_usetinydb/1","194","SUCCESS","26 Jun, 2018","192.168.113.247","true"
"spsfeatureCI","","","","http://192.168.113.195:9090/job/spsfeatureCI/","","","","blr-build-jenkins","true"
"wealthservice_stab_CI_usetinydb","","","","http://192.168.113.195:9090/job/wealthservice_stab_CI_usetinydb/29","253","SUCCESS","31 Oct, 2018","192.168.113.247","true"
"yslnpr_CI_usetinydb","","","","http://192.168.113.195:9090/job/yslnpr_CI_usetinydb/212","221","SUCCESS","30 Nov, 2018","192.168.113.247","true"
"oauthclient_npr_CI_usetinydb","","","","http://192.168.113.195:9090/job/oauthclient_npr_CI_usetinydb/23","239","SUCCESS","27 Nov, 2018","192.168.113.247","true"
"yslmoneysupport_CI_usetinydb","","","","http://192.168.113.195:9090/job/yslmoneysupport_CI_usetinydb/10","206","SUCCESS","11 Oct, 2018","192.168.113.247","true"
"yslstab_CI_usetinydb","","","","http://192.168.113.195:9090/job/yslstab_CI_usetinydb/68","249","SUCCESS","30 Nov, 2018","192.168.113.247","true"
"yslwealth_CI_usetinydb","","","","http://192.168.113.195:9090/job/yslwealth_CI_usetinydb/49","210","SUCCESS","22 Nov, 2018","192.168.113.247","true"
"alpha_ysl_deployment_wellness","","","","http://192.168.113.195:9090/job/alpha_ysl_deployment_wellness/10","4203826","FAILURE","11 Jun, 2018","192.168.57.26","false"
"yslfincheck_CI_usetinydb","","","","http://192.168.113.195:9090/job/yslfincheck_CI_usetinydb/1","136","SUCCESS","10 May, 2018","192.168.113.247","true"
"wealthservice_npr_CI_usetinydb","","","","http://192.168.113.195:9090/job/wealthservice_npr_CI_usetinydb/144","255","SUCCESS","29 Nov, 2018","192.168.113.247","true"
"yslnewarch_CI_usetinydb","","","","http://192.168.113.195:9090/job/yslnewarch_CI_usetinydb/13","261","SUCCESS","30 Nov, 2018","192.168.113.247","true"
"yslsdg_CI_usetinydb","","","","http://192.168.113.195:9090/job/yslsdg_CI_usetinydb/160","261","SUCCESS","14 Nov, 2018","192.168.113.247","true"
"oauthclient_psd_CI_usetinydb","","","","http://192.168.113.195:9090/job/oauthclient_psd_CI_usetinydb/99","258","SUCCESS","28 Nov, 2018","192.168.113.247","true"
"yslwellness_CI_usetinydb","","","","http://192.168.113.195:9090/job/yslwellness_CI_usetinydb/75","222","SUCCESS","30 Nov, 2018","192.168.113.247","true"
"sdp2_package_artifact_buildteam_devops","","","","http://192.168.113.195:9090/job/sdp2_package_artifact_buildteam_devops/5","154","FAILURE","14 May, 2018","192.168.210.119","false"
"yslnprplus_CI_usetinydb","","","","http://192.168.113.195:9090/job/yslnprplus_CI_usetinydb/628","213","SUCCESS","30 Nov, 2018","192.168.113.247","true"
"yslpsd_CI_usetinydb","","","","http://192.168.113.195:9090/job/yslpsd_CI_usetinydb/108","300","SUCCESS","26 Nov, 2018","192.168.113.247","true"
"oauthclient_stab_CI_usetinydb","","","","http://192.168.113.195:9090/job/oauthclient_stab_CI_usetinydb/2","224","SUCCESS","1 Aug, 2018","192.168.113.247","true"
