"JobName","CronTime","TimeDescription","CronStatus","URL","Timetaken","LastJobStatus","LastJobDate","Server","JobStatus"
"OAUTHCLIENT_PSD","","","","http://192.168.113.195:9090/job/OAUTHCLIENT_PSD/85","162356","SUCCESS","29 Nov, 2018","192.168.56.84","true"
"YSL_newarch","0 9,16,21 * * 0-5","at 9, 16 and 21 hours every day between Sunday and Friday","true","http://192.168.113.195:9090/job/NightlyProwler_YSL_newarch/35","334","SUCCESS","30 Nov, 2018","192.168.113.247","true"
"yslnprplus","","","","http://192.168.113.195:9090/job/yslnprplus/247","1489646","UNSTABLE","30 Nov, 2018","192.168.56.84","true"
"YSL_npr","30       8       *    *   1,2,3,4,5,6","at 08:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true","http://192.168.113.195:9090/job/NightlyProwler_YSL_npr/288","349","SUCCESS","30 Nov, 2018","192.168.113.247","true"
"YSL_npr","30       20      *    *   1,2,3,4,5,6","at 20:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true","http://192.168.113.195:9090/job/NightlyProwler_YSL_npr/288","349","SUCCESS","30 Nov, 2018","192.168.113.247","true"
"OAUTHCLIENT_STAB","","","","http://192.168.113.195:9090/job/OAUTHCLIENT_STAB/1","121020","SUCCESS","5 Jul, 2018","192.168.56.84","false"
"WEALTHSERVICE_STAB","","","","http://192.168.113.195:9090/job/WEALTHSERVICE_STAB/23","416915","SUCCESS","31 Oct, 2018","192.168.56.84","true"
"Yslnpr","","","","http://192.168.113.195:9090/job/Yslnpr/127","224609","SUCCESS","30 Nov, 2018","192.168.56.84","true"
"OAUTHCLIENT_NPR","30       8       *    *   1,2,3,4,5,6","at 08:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true","http://192.168.113.195:9090/job/NightlyProwler_OAUTHCLIENT_NPR/258","428","UNSTABLE","30 Nov, 2018","192.168.113.247","true"
"OAUTHCLIENT_NPR","30       16       *    *   1,2,3,4,5,6","at 16:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","false","http://192.168.113.195:9090/job/NightlyProwler_OAUTHCLIENT_NPR/258","428","UNSTABLE","30 Nov, 2018","192.168.113.247","true"
"OAUTHCLIENT_NPR","00       18       *    *   1,2,3,4,5,6","at 18:00 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true","http://192.168.113.195:9090/job/NightlyProwler_OAUTHCLIENT_NPR/258","428","UNSTABLE","30 Nov, 2018","192.168.113.247","true"
"WEALTHSERVICE_NPR","","","","http://192.168.113.195:9090/job/WEALTHSERVICE_NPR/112","968334","SUCCESS","30 Nov, 2018","192.168.56.84","true"
"ngyccservicesrelease","45      21      *    *   1,2,3,4,5,6","at 21:45 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true","http://192.168.113.195:9090/job/ngyccservicesrelease/61","4179","SUCCESS","30 Nov, 2018","192.168.210.72","true"
"yslsdg","","","","http://192.168.113.195:9090/job/yslsdg/165","254365","SUCCESS","14 Nov, 2018","192.168.56.84","true"
"OAUTHCLIENT_PSD","30       8       *    *   1,2,3,4,5,6","at 08:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","true","http://192.168.113.195:9090/job/NightlyProwler_OAUTHCLIENT_PSD/268","214","UNSTABLE","30 Nov, 2018","192.168.113.247","true"
"OAUTHCLIENT_PSD","30       16       *    *   1,2,3,4,5,6","at 16:30 at Monday, Tuesday, Wednesday, Thursday, Friday and Saturday days","false","http://192.168.113.195:9090/job/NightlyProwler_OAUTHCLIENT_PSD/268","214","UNSTABLE","30 Nov, 2018","192.168.113.247","true"
